PUNGGOL,11105,6621,4311,2358
CENTRAL AREA,6212,11809,3894,414
SENGKANG,22309,7223,3864,403
BUKIT TIMAH,2247,7744,3781,480
BUKIT MERAH,29936,11414,3670,162
BISHAN,19216,9834,3666,427
MARINE PARADE,7295,8018,3663,447
QUEENSTOWN,25452,10583,3346,247
KALLANG/WHAMPOA,23611,10411,3332,253
SEMBAWANG,10616,6148,3302,333
TOA PAYOH,28003,10088,3228,262
PASIR RIS,29621,6237,3087,754
SERANGOON,20806,7391,3061,469
CLEMENTI,25344,9896,3009,458
GEYLANG,25265,8466,2984,231
TAMPINES,71811,8548,2963,417
BUKIT PANJANG,23306,6462,2887,590
HOUGANG,44523,6698,2872,390
ANG MO KIO,47433,8464,2844,181
BEDOK,60392,8368,2843,322
CHOA CHU KANG,32632,5780,2833,406
JURONG WEST,59532,6792,2691,295
BUKIT BATOK,39885,7867,2691,417
WOODLANDS,57566,6000,2691,303
JURONG EAST,22472,6292,2689,268
YISHUN,61818,6768,2620,411
LIM CHU KANG,64,1880,932,343
