BUKIT MERAH,29936,11414,7963,162
QUEENSTOWN,25452,10583,7628,247
TOA PAYOH,28003,10088,6696,262
KALLANG/WHAMPOA,23611,10411,6680,253
BISHAN,19216,9834,6370,427
ANG MO KIO,47433,8464,6269,181
CLEMENTI,25344,9896,6241,458
GEYLANG,25265,8466,6144,231
BEDOK,60392,8368,6060,322
SENGKANG,22309,7223,5952,403
TAMPINES,71811,8548,5800,417
SERANGOON,20806,7391,5772,469
PUNGGOL,11105,6621,5763,2358
MARINE PARADE,7295,8018,5688,447
CENTRAL AREA,6212,11809,5519,414
HOUGANG,44523,6698,5381,390
JURONG EAST,22472,6292,5280,268
JURONG WEST,59532,6792,5252,295
BUKIT BATOK,39885,7867,5251,417
YISHUN,61818,6768,5206,411
BUKIT PANJANG,23306,6462,5179,590
WOODLANDS,57566,6000,4818,303
PASIR RIS,29621,6237,4794,754
SEMBAWANG,10616,6148,4664,333
CHOA CHU KANG,32632,5780,4642,406
BUKIT TIMAH,2247,7744,4329,480
LIM CHU KANG,64,1880,948,343
